phylum,phylum_latin,taxon,taxon_latin,n_images
蓝藻门,Cyanobacteria (Cyanophyta),伪鱼腥藻属,Pseudanabaena sp.,11
蓝藻门,Cyanobacteria (Cyanophyta),棒胶藻属,Gomphosphaeria sp.,9
蓝藻门,Cyanobacteria (Cyanophyta),平裂藻属,Merismopedia sp.,6
蓝藻门,Cyanobacteria (Cyanophyta),束丝藻属,Aphanizomenon sp.,4
蓝藻门,Cyanobacteria (Cyanophyta),鱼腥藻属,Anabaena sp. / Dolichospermum sp.,3
蓝藻门,Cyanobacteria (Cyanophyta),颤藻属,Oscillatoria sp.,2
蓝藻门,Cyanobacteria (Cyanophyta),优美平裂藻,Merismopedia elegans,2
蓝藻门,Cyanobacteria (Cyanophyta),色球藻属,Chroococcus sp.,2
蓝藻门,Cyanobacteria (Cyanophyta),惠氏微囊藻,Microcystis wesenbergii,2
蓝藻门,Cyanobacteria (Cyanophyta),微囊藻属,Microcystis sp.,2
蓝藻门,Cyanobacteria (Cyanophyta),点形平裂藻,Merismopedia punctata,1
蓝藻门,Cyanobacteria (Cyanophyta),卷曲鱼腥藻,Dolichospermum circinale / Anabaena circinalis,1
蓝藻门,Cyanobacteria (Cyanophyta),螺旋藻属,Spirulina sp.,1
硅藻门,Bacillariophyta,小环藻属,Cyclotella sp. / Discostella sp.,52
硅藻门,Bacillariophyta,针杆藻属,Synedra sp. / Ulnaria sp.,16
硅藻门,Bacillariophyta,尖针杆藻,Synedra acus / Ulnaria acus,11
硅藻门,Bacillariophyta,舟形藻属,Navicula sp.,11
硅藻门,Bacillariophyta,桥弯藻属,Cymbella sp.,8
硅藻门,Bacillariophyta,曲壳藻属,Achnanthes sp. / Achnanthidium sp.,8
硅藻门,Bacillariophyta,美丽星杆藻,Asterionella formosa,7
硅藻门,Bacillariophyta,眼斑小环藻,Cyclotella ocellata,6
硅藻门,Bacillariophyta,克洛脆杆藻,Fragilaria crotonensis,5
硅藻门,Bacillariophyta,肋缝藻属,Pinnularia sp.,5
硅藻门,Bacillariophyta,谷皮菱形藻,Nitzschia palea,5
硅藻门,Bacillariophyta,尖布纹藻,Gyrosigma acuminatum,3
硅藻门,Bacillariophyta,椭圆双壁藻,Diploneis elliptica,3
硅藻门,Bacillariophyta,颗粒直连藻,Aulacoseira granulata / Melosira granulata,3
硅藻门,Bacillariophyta,钝脆杆藻,Fragilaria cf. obtusa,2
硅藻门,Bacillariophyta,根管藻属,Rhizosolenia sp.,2
硅藻门,Bacillariophyta,具星小环藻,Cyclotella stelligera / Discostella stelligera,2
硅藻门,Bacillariophyta,颗粒直连藻最窄变种,Aulacoseira granulata var. angustissima,2
硅藻门,Bacillariophyta,草鞋形波缘藻,Cymatopleura solea,1
硅藻门,Bacillariophyta,锯形短缝藻,Eunotia pectinalis,1
硅藻门,Bacillariophyta,扁圆卵形藻,Cocconeis placentula,1
硅藻门,Bacillariophyta,箱形桥弯藻属,Cymbella cistula,1
硅藻门,Bacillariophyta,膨胀桥弯藻,Cymbella tumida,1
硅藻门,Bacillariophyta,线形双菱藻,Surirella linearis,1
硅藻门,Bacillariophyta,端毛双菱藻,Surirella cf. tenera,1
硅藻门,Bacillariophyta,双菱藻属,Surirella sp.,1
硅藻门,Bacillariophyta,梅尼小环藻,Cyclotella meneghiniana,1
硅藻门,Bacillariophyta,扭曲小环藻,Cyclotella cf. comta,1
硅藻门,Bacillariophyta,异极藻属,Gomphonema sp.,1
硅藻门,Bacillariophyta,直链藻属,Melosira sp. / Aulacoseira sp.,1
金藻门,Chrysophyta,锥囊藻属,Dinobryon sp.,8
金藻门,Chrysophyta,黄群藻属,Synura sp.,7
金藻门,Chrysophyta,鱼鳞藻属,Mallomonas sp.,2
隐藻门,Cryptophyta,隐藻属,Cryptomonas sp.,15
隐藻门,Cryptophyta,蓝隐藻属,Chroomonas sp.,1
甲藻门,Dinophyta (Dinoflagellata),多甲藻属,Peridinium sp.,14
甲藻门,Dinophyta (Dinoflagellata),裸甲藻属,Gymnodinium sp.,7
甲藻门,Dinophyta (Dinoflagellata),拟二叉角藻,Ceratium hirundinella / Ceratium cf. hirundinella,5
甲藻门,Dinophyta (Dinoflagellata),环沟藻属,Gyrodinium sp.,2
甲藻门,Dinophyta (Dinoflagellata),薄甲藻属,Glenodinium sp.,1
裸藻门,Euglenophyta,囊裸藻属,Trachelomonas sp.,6
裸藻门,Euglenophyta,裸藻属,Euglena sp.,5
裸藻门,Euglenophyta,扁裸藻属,Phacus sp.,4
绿藻门,Chlorophyta,单角盘星藻具孔变种,Pediastrum simplex var. duodenarium,18
绿藻门,Chlorophyta,衣藻属,Chlamydomonas sp.,11
绿藻门,Chlorophyta,鼓藻属,Cosmarium sp.,7
绿藻门,Chlorophyta,拟新月藻属,Monoraphidium sp.,7
绿藻门,Chlorophyta,二形栅藻,Scenedesmus dimorphus,7
绿藻门,Chlorophyta,单角盘星藻,Pediastrum simplex,6
绿藻门,Chlorophyta,双对栅藻,Scenedesmus bijuga,6
绿藻门,Chlorophyta,角星鼓藻属,Staurastrum sp.,5
绿藻门,Chlorophyta,栅藻属,Scenedesmus sp. / Desmodesmus sp.,5
绿藻门,Chlorophyta,纺锤藻属,Ankistrodesmus sp.,4
绿藻门,Chlorophyta,单角盘星藻粒刺变种,Pediastrum simplex var. echinulatum,4
绿藻门,Chlorophyta,纤维藻属,Elakatothrix sp.,4
绿藻门,Chlorophyta,小空星藻,Coelastrum microporum,3
绿藻门,Chlorophyta,卵囊藻属,Oocystis sp.,3
绿藻门,Chlorophyta,实球藻属,Pandorina sp.,3
绿藻门,Chlorophyta,具尾四角藻,Tetraedron caudatum / Tetraëdron caudatum,3
绿藻门,Chlorophyta,丰富栅藻原变种,Scenedesmus abundans var. abundans,3
绿藻门,Chlorophyta,顶极藻属,Tetraedron sp. / Tetraëdron sp.,2
绿藻门,Chlorophyta,胶网藻属,Dictyosphaerium sp.,2
绿藻门,Chlorophyta,四角盘星藻,Pediastrum tetras,2
绿藻门,Chlorophyta,双射盘星藻,Pediastrum duplex,2
绿藻门,Chlorophyta,二角盘星藻纤细变种,Pediastrum boryanum var. longicorne,2
绿藻门,Chlorophyta,四足十字藻,Crucigenia tetrapedia,2
绿藻门,Chlorophyta,月牙藻属,Selenastrum sp.,2
绿藻门,Chlorophyta,裂孔栅藻,Scenedesmus perforatus,2
绿藻门,Chlorophyta,转板藻属,Mougeotia sp.,2
绿藻门,Chlorophyta,多棘鼓藻,Cosmarium cf. multispinosum,1
绿藻门,Chlorophyta,叉星鼓藻,Staurastrum cf. furcatum,1
绿藻门,Chlorophyta,四刺顶极藻,Tetraedron caudatum / Tetraëdron caudatum,1
绿藻门,Chlorophyta,平顶顶接鼓藻,Cosmarium cf. depressum,1
绿藻门,Chlorophyta,多芒藻属,Golenkinia sp.,1
绿藻门,Chlorophyta,浮球藻属,Planktosphaeria sp.,1
绿藻门,Chlorophyta,集星藻属,Actinastrum sp.,1
绿藻门,Chlorophyta,胶囊藻属,Gloeocystis sp.,1
绿藻门,Chlorophyta,纤细角星鼓藻,Staurastrum gracile,1
绿藻门,Chlorophyta,网状空星藻,Coelastrum reticulatum,1
绿藻门,Chlorophyta,盘星藻属,Pediastrum sp.,1
绿藻门,Chlorophyta,盘藻属,Gonium sp.,1
绿藻门,Chlorophyta,四角十字藻,Crucigenia quadrata,1
绿藻门,Chlorophyta,顶锥十字藻,Crucigenia apiculata,1
绿藻门,Chlorophyta,小球藻属,Chlorella sp.,1
绿藻门,Chlorophyta,新月藻属,Closterium sp.,1
