phylum,phylum_latin,taxon,taxon_latin,note
甲藻门,Dinophyta (Dinoflagellata),多甲藻属,Peridinium sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
甲藻门,Dinophyta (Dinoflagellata),拟二叉角藻,Ceratium hirundinella / Ceratium cf. hirundinella,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
甲藻门,Dinophyta (Dinoflagellata),环沟藻属,Gyrodinium sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
甲藻门,Dinophyta (Dinoflagellata),薄甲藻属,Glenodinium sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
甲藻门,Dinophyta (Dinoflagellata),裸甲藻属,Gymnodinium sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
硅藻门,Bacillariophyta,克洛脆杆藻,Fragilaria crotonensis,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
硅藻门,Bacillariophyta,具星小环藻,Cyclotella stelligera / Discostella stelligera,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
硅藻门,Bacillariophyta,双菱藻属,Surirella sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
硅藻门,Bacillariophyta,小环藻属,Cyclotella sp. / Discostella sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
硅藻门,Bacillariophyta,尖布纹藻,Gyrosigma acuminatum,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
硅藻门,Bacillariophyta,尖针杆藻,Synedra acus / Ulnaria acus,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
硅藻门,Bacillariophyta,异极藻属,Gomphonema sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
硅藻门,Bacillariophyta,扁圆卵形藻,Cocconeis placentula,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
硅藻门,Bacillariophyta,扭曲小环藻,Cyclotella cf. comta,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
硅藻门,Bacillariophyta,曲壳藻属,Achnanthes sp. / Achnanthidium sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
硅藻门,Bacillariophyta,根管藻属,Rhizosolenia sp.,属级以 sp. 表示；含 cf. 或斜杠的名称建议人工复核后用于正式鉴定。
