taxon,common_name,category,commons_category,source_page
Cyprinidae fish,Carp/minnow type fish,Fish,Cyprinidae,https://commons.wikimedia.org/wiki/Category:Cyprinidae
Salmonidae fish,Salmon/trout type fish,Fish,Salmonidae,https://commons.wikimedia.org/wiki/Category:Salmonidae
Siluridae fish,Catfish type fish,Fish,Siluridae,https://commons.wikimedia.org/wiki/Category:Siluridae
Cobitidae fish,Loach type fish,Fish,Cobitidae,https://commons.wikimedia.org/wiki/Category:Cobitidae
Percidae fish,Perch/darter type fish,Fish,Percidae,https://commons.wikimedia.org/wiki/Category:Percidae
Centrarchidae fish,Sunfish/bass type fish,Fish,Centrarchidae,https://commons.wikimedia.org/wiki/Category:Centrarchidae
Gobiidae fish,Goby type fish,Fish,Gobiidae,https://commons.wikimedia.org/wiki/Category:Gobiidae
Ephemeroptera larva/nymph,Mayfly nymph,Benthic macroinvertebrate,Ephemeroptera larvae,https://commons.wikimedia.org/wiki/Category:Ephemeroptera_larvae
Plecoptera larva/nymph,Stonefly nymph,Benthic macroinvertebrate,Plecoptera larvae,https://commons.wikimedia.org/wiki/Category:Plecoptera_larvae
Trichoptera larva,Caddisfly larva,Benthic macroinvertebrate,Trichoptera larvae and hides,https://commons.wikimedia.org/wiki/Category:Trichoptera_larvae_and_hides
Chironomidae larva,Non-biting midge larva,Benthic macroinvertebrate,Chironomidae larvae,https://commons.wikimedia.org/wiki/Category:Chironomidae_larvae
Oligochaeta,Aquatic worm,Benthic macroinvertebrate,Oligochaeta,https://commons.wikimedia.org/wiki/Category:Oligochaeta
Gastropoda,Freshwater/river snail,Benthic macroinvertebrate,Gastropoda,https://commons.wikimedia.org/wiki/Category:Gastropoda
Bivalvia,Freshwater mussel/clam,Benthic macroinvertebrate,Bivalvia,https://commons.wikimedia.org/wiki/Category:Bivalvia
Limnoperna fortunei,Golden mussel,Benthic macroinvertebrate,Limnoperna fortunei,https://commons.wikimedia.org/wiki/Category:Limnoperna_fortunei
